original_filename,new_folder,new_filename
#L01f4c4 NDA Template #U2014 Freelancer Agreement 2bdb3416c76d808e975fcad4f2b45d64.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,NDA Template  Freelancer Agreement.md
#L01f4c4 Partner Start Here Guide #U2014 PDF Version 2c9b3416c76d8062a0fee5b2f8c1bbb1.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Partner Start Here Guide  PDF Version.md
#L01f4c4 Project Template 01eb167da6e547cc82b7ebb3a3f07796.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Project Template.md
#L01f4c4 Report Template 39ad56774af148a5aa49c0c21866575e.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Report Template.md
#L01f4c4 SOP Template 869b4701888b45329063c00a859e6cee.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",SOP Template.md
#L01f4c4 Short Company Profile #U2014 Nivy Nexus 2e6b3416c76d8070b25be16990a91103.md,Nivy Nexus (Business Community),Short Company Profile  Nivy Nexus.md
#L01f4c4 Templates & Resources 5c8c4687c98141b995f59ceb07998fed.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Templates & Resources.md
#L01f4c5 Active Planning Notes 2e1b3416c76d8095a6f2e3ff64e1da37.md,Miscellaneous & Uncategorized,Active Planning Notes.md
#L01f4c8 Growth Engine #U2014 Division Home 343b3416c76d81b3ab51f2d871b03ce3.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,Growth Engine  Division Home.md
#L01f4c8 Investor Pitch Decks f367cfcd25c346fe867fcec71b1dbda6.md,Miscellaneous & Uncategorized,Investor Pitch Decks.md
#L01f4c8 Strategy & Plans 340b3416c76d81319b0efe1ce75be52c.md,Nivy Advisory (Tax & Accounting),Strategy & Plans.md
#L01f4ca Budget Forecasting Template b15f20f8abb64b98b76a8d61bea626b6.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Budget Forecasting Template.md
#L01f4ca Digital Marketing Master Plan 2b4b3416c76d80e4921bfab909ab1712.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Digital Marketing Master Plan.md
#L01f4ca Digital Marketing Operations #U2014 Division Home 34db3416c76d81adb4fff079beed577d.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,Digital Marketing Operations  Division Home.md
#L01f4ca Financial Projections 288b3416c76d80afb04ed79e69b3cdfe.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Financial Projections.md
#L01f4ca KPI Measurement Framework 28ab3416c76d800ebb73d9d1fd92cf64.md,Nivy Global (Master Brand & HQ),KPI Measurement Framework.md
#L01f4ca Marketing Assets Checklist 288b3416c76d80678419f1014c96072b.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Marketing Assets Checklist.md
"#L01f4ca Master Sales Partner #U2014 Roles, KPIs & Governance  290b3416c76d800b9cdaf3ae83e5f65f.md",Nivy Alliance (Partner Program),"Master Sales Partner  Roles, KPIs & Governance.md"
#L01f4ca Nivy Company Dashboard #U2014 Executive Overview 354b3416c76d81e8ad43e29d1ade8ff2.md,Nivy Next (Digital Marketing & AI),Nivy Company Dashboard  Executive Overview.md
#L01f4ca Nivy Nexus #U2014 Outreach Plan 2d2b3416c76d80f98dd9ea559429dcd1.md,Nivy Nexus (Business Community),Nivy Nexus  Outreach Plan.md
#L01f4ca Platform Business Model Blueprint 2e1b3416c76d806bba30f4dfe5f6a894.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Platform Business Model Blueprint.md
#L01f4ca Pocket Money Partner #U2014 Complete Journey & Growth 2c9b3416c76d80f99963f7bed87415c4.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Pocket Money Partner  Complete Journey & Growth.md
#L01f4ca Pocket Money Partner Plan v1 0 2c5b3416c76d80d795abed2d84fd7145.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Pocket Money Partner Plan v1 0.md
#L01f4ca Pocket Money Partner Plan v1 1 2c8b3416c76d8003ba6fdda75f535eeb.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Pocket Money Partner Plan v1 1.md
#L01f4ca Proposal PPT #U2014 Nivy Global 286b3416c76d8029af30d26fae35c44b.md,Nivy Global (Master Brand & HQ),Proposal PPT  Nivy Global.md
#L01f4ca Proposals & Presentations 340b3416c76d8117b857ee407fb5b77c.md,Nivy Global (Master Brand & HQ),Proposals & Presentations.md
#L01f4ca Reporting System #U2014 Client & Internal 34cb3416c76d8036a026c7096374fe5d.md,Nivy Global (Master Brand & HQ)/Reports & Databases,Reporting System  Client & Internal.md
#L01f4ca Sales Research 2dfb3416c76d80eebea5ff44f2d5f3a8.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Sales Research.md
#L01f4ca VA Sales & Training Content Index #U2014 Digital Mark 34ab3416c76d8044b4c6c40d5d4ffb50.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,VA Sales & Training Content Index  Digital Mark.md
#L01f4cb Business Plan #U2014 Division Home 310b3416c76d81a891ccc81c6dbca11e.md,Nivy Global (Master Brand & HQ),Business Plan  Division Home.md
#L01f4cb Business Plan (Legacy v1 #U2014 Raw Draft) 29bb3416c76d80b78dbaca177ac68e1a.md,Nivy Next (Digital Marketing & AI),Business Plan (Legacy v1  Raw Draft).md
#L01f4cb Business Plan 251d8e7bd6554e93a0fc471b45ce46f6.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Business Plan.md
#L01f4cb Client Onboarding System 34cb3416c76d80ddbbf7dcd0c03740dd.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Client Onboarding System.md
#L01f4cb Documentation & Protocols 336b3416c76d81eca1e1c10329d032fc.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Documentation & Protocols.md
#L01f4cb Documents to Handover #U2014 Partner Onboarding 287b3416c76d806e8a13e3e1eb4afbfe.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Documents to Handover  Partner Onboarding.md
#L01f4cb Internal Job Listings #U2014 Part-Time & Commission R 2d4b3416c76d80038c06eff78ff4ffaa.md,Nivy Alliance (Partner Program),Internal Job Listings  Part-Time & Commission R.md
#L01f4cb Master Document Checklist 282b3416c76d80f08b80da043e2e6516.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Master Document Checklist.md
#L01f4cb Master Vendor List #U2014 Sabhi Functions 36ab3416c76d8180b926cd453f4a4e95.md,Miscellaneous & Uncategorized,Master Vendor List  Sabhi Functions.md
#L01f4cb Nivy Next #U2014 Business Profile & Setup Checklist 2d1b3416c76d801dbe91fc643bb1c4fe.md,Nivy Next (Digital Marketing & AI),Nivy Next  Business Profile & Setup Checklist.md
#L01f4cb Phase 0 #U2014 Full Workspace Audit 340b3416c76d815286c6e5b81d910fcf.md,Nivy Academy,Phase 0  Full Workspace Audit.md
#L01f4cb Planning & Decisions 34cb3416c76d81a2bbe5c2f7c45bb193.md,Nivy Global (Master Brand & HQ)/Shared Departments/CEO Office,Planning & Decisions.md
#L01f4cb Project Management 34cb3416c76d81b299d6d4d9099d7ecf.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Project Management.md
#L01f4cb Project Management Dashboard 34db3416c76d81618857d77b4cf85719.md,Nivy Global (Master Brand & HQ)/Shared Departments/Project Management,Project Management Dashboard.md
#L01f4cb SOPs & Processes 081a52c4813d495ba3f4406474ac5e8d.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,SOPs & Processes.md
#L01f4cc Master Content Elements & Optimization Table 2b4b3416c76d80ca940bd806ece37eac.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Master Content Elements & Optimization Table.md
#L01f4cc WhatsApp & LinkedIn #U2014 Pinned Group Message 2d2b3416c76d80049f83c449230b0f41.md,Nivy Alliance (Partner Program),WhatsApp & LinkedIn  Pinned Group Message.md
#L01f4cd Partner Start Here #U2014 Hindi Guide with Links 2dcb3416c76d80d584a2d581b21e0b89.md,Nivy Alliance (Partner Program),Partner Start Here  Hindi Guide with Links.md
#L01f4ce About Us #U2014 One Pager 28fb3416c76d80218c29c140f6c1a15d.md,Miscellaneous & Uncategorized/Empty Template Stubs,About Us  One Pager.md
#L01f4cf Code of Conduct & Non-Poaching Policy 2c5b3416c76d800ab236e1e0fcf740a0.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Code of Conduct & Non-Poaching Policy.md
#L01f4d0 Business Model f5ffde88c9f84750bcc86e33e93e7f1f.md,Nivy Global (Master Brand & HQ)/Company Strategy & Business Plan,Business Model.md
#L01f4d0 Naming Conventions & Versioning Guide #U2014 Nivy 354b3416c76d81d9bc98ce2d50c06924.md,Nivy Next (Digital Marketing & AI),Naming Conventions & Versioning Guide  Nivy.md
#L01f4d0 Phase 4 #U2014 Newbie-Friendly Standards & Templates 33fb3416c76d8163bf94eb4f86a1f09f.md,Nivy Next (Digital Marketing & AI),Phase 4  Newbie-Friendly Standards & Templates.md
#L01f4d0 Phase 5 #U2014 Rules We Will Follow 340b3416c76d81f29d73ff9b61b3a8cd.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,Phase 5  Rules We Will Follow.md
#L01f4d6 Glossary #U2014 Nivy Terms Explained 340b3416c76d81d4b49ff726fd06f4e2.md,Nivy Next (Digital Marketing & AI),Glossary  Nivy Terms Explained.md
#L01f4d6 How to Use Nivy OS #U2014 A Beginner's Guide 340b3416c76d8144b893e2cb5cd4755c.md,Nivy Global (Master Brand & HQ),How to Use Nivy OS  A Beginner's Guide.md
#L01f4d7 Growth Engine Playbook 2e0b3416c76d803ab3d8c9017a6ab1ad.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Growth Engine Playbook.md
#L01f4d8 SALES & EMAIL MARKETING TEAM #U2013 COMPLETE SOP 2e6b3416c76d802ab699ff67222cdf65.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,SALES & EMAIL MARKETING TEAM  COMPLETE SOP.md
#L01f4da COMPLETE SCRIPT LIBRARY 2c9b3416c76d8173bba7c587adcff8e3.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,COMPLETE SCRIPT LIBRARY.md
#L01f4da Knowledge & Resources 34cb3416c76d8116b2f9e5dec0fd5457.md,Nivy Next (Digital Marketing & AI),Knowledge & Resources.md
#L01f4da Knowledge Hub 5e67f7b745a5416b9621e66854d48f33.md,Miscellaneous & Uncategorized,Knowledge Hub.md
#L01f4da Living Documentation 282b3416c76d801a9144fd997e3fce73.md,Nivy Next (Digital Marketing & AI),Living Documentation.md
#L01f4da SOPs Quick Reference Index #U2014 All Nivy Divisions 354b3416c76d8150bef0c92c9b74c603.md,Nivy Next (Digital Marketing & AI),SOPs Quick Reference Index  All Nivy Divisions.md
#L01f4dc Community Rules #U2014 Nivy Nexus 2d2b3416c76d80ff82e4fb9bbd095acc.md,Nivy Nexus (Business Community),Community Rules  Nivy Nexus.md
#L01f4dc Rasam-Riwaz SOP #U2014 Har Function Guide 36ab3416c76d81a3a667d5597b48494d.md,Wedding Planning (Personal - Unrelated to Business),Rasam-Riwaz SOP  Har Function Guide.md
#L01f4dd Freelancer Proposal Template 2b5b3416c76d807d8e44c7310e8e60c9.md,Nivy Next (Digital Marketing & AI),Freelancer Proposal Template.md
#L01f4dd Hiring Post Templates #U2014 All Platforms 2c9b3416c76d80d69380cf42f8b8ff50.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Hiring Post Templates  All Platforms.md
#L01f4dd Nivy Nexus #U2014 Complete Company Profile Checklist 2e6b3416c76d80f892d1dff7bf6b61f0.md,Nivy Nexus (Business Community),Nivy Nexus  Complete Company Profile Checklist.md
#L01f4dd Quick Hire Google Form #U2014 Template 2c9b3416c76d80b6b624f8277894df28.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Quick Hire Google Form  Template.md
#L01f4dd Service Delivery & Scope of Work 279b3416c76d800f9ac1fd39594bbf6f.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Service Delivery & Scope of Work.md
#L01f4dd Upwork Job Posting Template #U2014 Sales & Marketing  296b3416c76d80d6a002c62d86584a0f.md,Nivy Alliance (Partner Program),Upwork Job Posting Template  Sales & Marketing.md
#L01f4de Vendors Directory #U2014 Contacts & Payments 36ab3416c76d816ea79afd8dc9dfa68c.md,Wedding Planning (Personal - Unrelated to Business),Vendors Directory  Contacts & Payments.md
#L01f4e1 Live Execution Log #U2014 Nivy Reorganization (May 20 354b3416c76d818f8d90ebf51899ef80.md,Nivy Next (Digital Marketing & AI),Live Execution Log  Nivy Reorganization (May 20.md
#L01f4e1 Outreach Methods #U2014 All Channels 2cfb3416c76d8099b8c6dd17bbf6b69b.md,Nivy Alliance (Partner Program),Outreach Methods  All Channels.md
#L01f4e2 Digital Marketing #U2014 Service Page 355b3416c76d815eabacfb3189d4740d.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Digital Marketing  Service Page.md
#L01f4e2 Public Promotion Engine (PPE) 2e0b3416c76d807c91f4d6bfe5923c9b.md,Miscellaneous & Uncategorized,Public Promotion Engine (PPE).md
#L01f4e2Marketing_and_Branding_Support 28fb3416c76d8095816fc0ff55c34286.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Marketing_and_Branding_Support.md
#L01f4e3 Hiring for Pocket-Money Earners (Work From Home) 2c5b3416c76d801daabde0cc25ba0fb3.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Hiring for Pocket-Money Earners (Work From Home).md
#L01f4e3 Marketing & Branding Hub 4ed0ad0fc3884189ba6b01bc34966113.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Marketing & Branding Hub.md
#L01f4e3 Marketing & Sales 34cb3416c76d81728158e33cf1e78939.md,Nivy Advisory (Tax & Accounting),Marketing & Sales.md
#L01f4e3 Outbound Strategy 2e0b3416c76d8027a33dd5ae0bb9a74d.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Outbound Strategy.md
#L01f4e3 Outreach & Campaigns 34cb3416c76d81628c85e1036de99952.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,Outreach & Campaigns.md
#L01f4e3 Outreach & Messaging 340b3416c76d8122b2adf6c7f2b042ef.md,Nivy Nexus (Business Community),Outreach & Messaging.md
#L01f4e3 Social Media Advertising Packages 2b3b3416c76d8036b988dffe72ce7330.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Social Media Advertising Packages.md
#L01f4e5 Demand Outreach Strategy 2e2b3416c76d80948c47e0ed5de1c093.md,"Nivy Global (Master Brand & HQ)/Sales, Outreach & Communication Scripts",Demand Outreach Strategy.md
#L01f4e5 Inbound Marketing 2e0b3416c76d8061b3cbe5cec379ee99.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Inbound Marketing.md
#L01f4e5 Inbox #U2013 ChatGPT Outputs 2bcb3416c76d809fa202e93f2eefeb99.md,Miscellaneous & Uncategorized/Empty Template Stubs,Inbox  ChatGPT Outputs.md
#L01f4e5 Inbox #U2013 Drive Saves 2bcb3416c76d80caa658d073e074515e.md,Miscellaneous & Uncategorized/Empty Template Stubs,Inbox  Drive Saves.md
#L01f4e5 Inbox #U2013 Laptop Saves 2bcb3416c76d805e8f6ded9293bb9c5d.md,Miscellaneous & Uncategorized/Empty Template Stubs,Inbox  Laptop Saves.md
#L01f4e5 Inbox #U2013 Notion Captures 2bcb3416c76d8035bb64eeb67df84dd0.md,Miscellaneous & Uncategorized/Empty Template Stubs,Inbox  Notion Captures.md
#L01f4e5 Inbox #U2013 WhatsApp Saves 2bcb3416c76d80b7b4dce20b54ebbfa2.md,"Nivy Global (Master Brand & HQ)/Sales, Outreach & Communication Scripts",Inbox  WhatsApp Saves.md
#L01f4e6 Raw Knowledge Vault #U2014 Nivy 354b3416c76d81fab6f2fc26177fcc31.md,Nivy Next (Digital Marketing & AI),Raw Knowledge Vault  Nivy.md
#L01f4e6 SEO Packages 2b3b3416c76d80629958e92ee2e6f819.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,SEO Packages.md
#L01f4e6 Service Packages 34db3416c76d81b0a436fbb6178ad9a1.md,Nivy Next (Digital Marketing & AI),Service Packages.md
"#L01f4e7 Auto Email #U2014 Confirmation, Rejection & Welcome T 2c9b3416c76d8075a0cbc09030e4fd9e.md",Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,"Auto Email  Confirmation, Rejection & Welcome T.md"
#L01f4e7 Automated Welcome Email #U2014 Ready to Send 2c9b3416c76d81128543cf968d7cbd7b.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Automated Welcome Email  Ready to Send.md
#L01f4e7 Email Campaign Scenarios & Cold Email Angles 2e0b3416c76d80e086c0ccc89b6d4970.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Email Campaign Scenarios & Cold Email Angles.md
#L01f4e7 Email Copy Bank #U2014 All Ready-to-Send Emails 2e2b3416c76d80f4952ee2e81bcb0a49.md,Nivy Nexus (Business Community),Email Copy Bank  All Ready-to-Send Emails.md
#L01f4e7 Email Marketing Plan 27cb3416c76d80518893d8be46efe69e.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Email Marketing Plan.md
#L01f4e7 Email Sequence #U2014 Buyer-Supplier Logic (Mautic-Re 2e4b3416c76d80a0bd20cff23f3e89df.md,"Nivy Global (Master Brand & HQ)/Sales, Outreach & Communication Scripts",Email Sequence  Buyer-Supplier Logic (Mautic-Re.md
#L01f4e7 Email Sequence #U2014 Core Services Upsell (v2) 2e4b3416c76d80e4b0eae4eb787b0bc2.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Email Sequence  Core Services Upsell (v2).md
#L01f4e7 Email Sequence #U2014 Core Services Upsell 2e2b3416c76d80eb89f0e1eb597d1d81.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Email Sequence  Core Services Upsell.md
#L01f4e7 Email Sequence #U2014 Supply Chain Vertical 2e2b3416c76d80338c18fd746cac50e0.md,"Nivy Global (Master Brand & HQ)/Sales, Outreach & Communication Scripts",Email Sequence  Supply Chain Vertical.md
#L01f4e7 Email Templates #U2014 US Format 2e2b3416c76d80a9b3e9cdb9f2e6d671.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Email Templates  US Format.md
#L01f4e7 Nivy Advisory #U2014 Email Marketing Sequences 28ab3416c76d801fbdd4c086c0edca5c.md,Nivy Advisory (Tax & Accounting),Nivy Advisory  Email Marketing Sequences.md
#L01f4e7 Nivy Alliance #U2014 Email Onboarding Sequence 2d2b3416c76d8063aee6caeac664649d.md,Nivy Alliance (Partner Program),Nivy Alliance  Email Onboarding Sequence.md
#L01f4e7 Proposal Email Template a103aa8125b445628a66f8fd310d5dd9.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Proposal Email Template.md
#L01f4f1 App Development #U2014 Service Page 355b3416c76d815180d3f9628b3af4f1.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,App Development  Service Page.md
#L01f4f1 App Development #U2014 Service Page 355b3416c76d819887e5c110eec4e6bb.md,Nivy Next (Digital Marketing & AI),App Development  Service Page.md
#L01f4f1 Social Media & Content 340b3416c76d81c6b019eaf2388c7c4a.md,Nivy Nexus (Business Community),Social Media & Content.md
#L01f4f1 Social Media Posts #U2013 Freelancer Hiring 2c0b3416c76d80a3b346f4beaba342bb.md,Nivy Next (Digital Marketing & AI),Social Media Posts  Freelancer Hiring.md
#L01f4f1 Social Media Strategy #U2014 Nivy Nexus 2dcb3416c76d80f7b7fefcc10d3375f2.md,Nivy Nexus (Business Community),Social Media Strategy  Nivy Nexus.md
#L01f4f2 Hiring & Retention Channels 2c2b3416c76d80b68181dda986331966.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Hiring & Retention Channels.md
#L01f4f2 WHATSAPP AUTO-REPLY FOR APPLICANTS 2c5b3416c76d8027a07cc7f8a8e7b890.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,WHATSAPP AUTO-REPLY FOR APPLICANTS.md
#L01f504 Freelancer Acquisition Funnel 2c0b3416c76d8065ae13f6db971289b2.md,Nivy Global (Master Brand & HQ),Freelancer Acquisition Funnel.md
#L01f50d Competitor Analysis Tools #U2014 Full Reference Table 2b4b3416c76d8096bcd6e439db7caf8d.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Competitor Analysis Tools  Full Reference Table.md
#L01f50d Competitor Categories You Must Track 2b4b3416c76d809ca27ad16e25875473.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Competitor Categories You Must Track.md
#L01f50d Freelancer Screening Questions & Questionnaire 2bcb3416c76d80ae972fdba9f197e0bf.md,Nivy Next (Digital Marketing & AI),Freelancer Screening Questions & Questionnaire.md
#L01f50d Recruitment & Filtering Process 2c9b3416c76d80569438c3488caeec33.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,Recruitment & Filtering Process.md
#L01f50d Workspace Audit & Improvement Log 348b3416c76d81b7b64df8878a7c48c8.md,Nivy Academy,Workspace Audit & Improvement Log.md
#L01f517 Important Links & Resources #U2014 GAAP Partner 2dcb3416c76d80ca998dcc84e7960f26.md,Nivy Alliance (Partner Program),Important Links & Resources  GAAP Partner.md
#L01f517 Nivy Nexus #U2014 Division Home 310b3416c76d819aa7c0e0e8111c3c97.md,Nivy Nexus (Business Community),Nivy Nexus  Division Home.md
#L01f517 Resources & Reference 340b3416c76d8117a2f2de875ef3bb87.md,Nivy Nexus (Business Community),Resources & Reference.md
#L01f525 Pheras #U2014 Main Shadi #U2014 Complete Plan 36ab3416c76d817b952bd533b43a1439.md,Wedding Planning (Personal - Unrelated to Business),Pheras  Main Shadi  Complete Plan.md
#L01f527 Hiring & Delegation Guide 2c0b3416c76d80378543c75a76bd14f6.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Hiring & Delegation Guide.md
#L01f527 Phase 2 #U2014 Teamspace-by-Teamspace Plan 340b3416c76d8139a536d336ee750094.md,Nivy Global (Master Brand & HQ),Phase 2  Teamspace-by-Teamspace Plan.md
#L01f52c Research & Intelligence 34cb3416c76d815d8a98cd68a935c440.md,Nivy Global (Master Brand & HQ)/Shared Departments/Sales,Research & Intelligence.md
#L01f52c Research Notes & Findings 2dfb3416c76d805ab4b8f06461fbc7bb.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Research Notes & Findings.md
#L01f549#Ufe0f Pooja Samaan Master List #U2014 Sabhi Functions 36ab3416c76d81e38d1fff0838f4d673.md,Wedding Planning (Personal - Unrelated to Business),Pooja Samaan Master List  Sabhi Functions.md
#L01f5a4 Archive #U2014 Research Dump & Historical Reference 289b3416c76d8194840febba3d212fd4.md,Nivy Next (Digital Marketing & AI),Archive  Research Dump & Historical Reference.md
#L01f5c2#Ufe0f Home Dashboard Archive 289b3416c76d819b935ef483a18476a9.md,Nivy Global (Master Brand & HQ)/Reports & Databases,Home Dashboard Archive.md
#L01f5c2#Ufe0f Master Index 2dfb3416c76d8087aa55ff69399bd95f.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,Master Index.md
#L01f5c2#Ufe0f Teamspace Home (Empty Shell #U2014 Archived) 310b3416c76d8186b7ead06d0bb0158d.md,Archive & Legacy,Teamspace Home (Empty Shell  Archived).md
#L01f5c2#Ufe0f True Master Index #U2014 Nivy Workspace 354b3416c76d8145ae75c13399b4c232.md,Nivy Next (Digital Marketing & AI),True Master Index  Nivy Workspace.md
#L01f5c2#Ufe0f Workspace Admin #U2014 Planning & Audit Records c6eb3416c76d8398949281b637c39666.md,Miscellaneous & Uncategorized,Workspace Admin  Planning & Audit Records.md
"#L01f5c2#Ufe0f Workspace Reorganisation #U2014 Private, Growth Engi 34db3416c76d811284e4c2887e390cb1.md",Nivy Next (Digital Marketing & AI),"Workspace Reorganisation  Private, Growth Engi.md"
#L01f5c3#Ufe0f System Databases 8356908215374191b51b22931dccc65d.md,Nivy Global (Master Brand & HQ)/Shared Departments/Technology,System Databases.md
#L01f5d3#Ufe0f #U0936#U093e#U0926#U0940 #U0915#U0947 #U0926#U093f#U0928 #U0915#U093e Plan #U2014 Minute-by-Minute SOP 36ab3416c76d812bbc19d1cb5a020d5a.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Plan  Minute-by-Minute SOP.md
#L01f5d3#Ufe0f 30-Day Online Presence Plan #U2014 Nivy Advisory 28ab3416c76d80768f02cdead7263a9b.md,Nivy Advisory (Tax & Accounting),30-Day Online Presence Plan  Nivy Advisory.md
#L01f5d3#Ufe0f Day-Wise Partner Journey #U2014 Master Onboarding Pl 2c9b3416c76d80fab5c5db2a2cdef892.md,Miscellaneous & Uncategorized,Day-Wise Partner Journey  Master Onboarding Pl.md
#L01f5d3#Ufe0f Decisions Log 2e2b3416c76d80478c81c054bdf0a6a9.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Decisions Log.md
#L01f5d3#Ufe0f Master Timeline #U2014 Phase-wise Checklist 36ab3416c76d81cbaa39cc8749a56d0c.md,"Nivy Global (Master Brand & HQ)/SOPs, Templates & Documentation",Master Timeline  Phase-wise Checklist.md
#L01f5d3#Ufe0f Nivy Next #U2014 October Setup & Launch Plan 28ab3416c76d803980d0d64ea9f6e7fa.md,Nivy Next (Digital Marketing & AI),Nivy Next  October Setup & Launch Plan.md
#L01f5d3#Ufe0f Phase 1 #U2014 Foundation Setup (Days 1#U20133) 2e6b3416c76d805ca56bc77bfe6a1b72.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Phase 1  Foundation Setup (Days 13).md
#L01f5fa#Ufe0f Complete Online Presence Roadmap (Start #U2192 Full  2b4b3416c76d8090aa6ded462c38c474.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Complete Online Presence Roadmap (Start  Full.md
#L01f5fa#Ufe0f Expansion Map 27eb3416c76d80369f05f1e40e41ab50.md,Nivy Global (Master Brand & HQ)/Shared Departments/Finance & Accounting,Expansion Map.md
#L01f5fa#Ufe0f Nivy Next #U2014 Business Profile Execution Plan 356b3416c76d812fb10bd764563dde6c.md,Nivy Next (Digital Marketing & AI),Nivy Next  Business Profile Execution Plan.md
#L01f5fa#Ufe0f Nivy Workspace #U2014 Master Restructuring Plan 340b3416c76d81719399dd70499a2eb9.md,Nivy Next (Digital Marketing & AI),Nivy Workspace  Master Restructuring Plan.md
#L01f64b Virtual Assistant Services #U2014 Service Page 355b3416c76d8128802eed3429da56c5.md,Nivy Next (Digital Marketing & AI),Virtual Assistant Services  Service Page.md
#L01f64b Virtual Assistant Services #U2014 Service Page 355b3416c76d8199b31cc4a9cfc44eec.md,Nivy Next (Digital Marketing & AI),Virtual Assistant Services  Service Page (1).md
#L01f680 DIVISION 7 SCALABILITY & TIERS 291b3416c76d809190dcfcfce3f3a6c5.md,Nivy Global (Master Brand & HQ)/Shared Departments/Legal & Compliance,DIVISION 7 SCALABILITY & TIERS.md
#L01f680 FREE Tools to Find Best Content in Any Niche (Pl 2b4b3416c76d80aaa0acc0b50c21ada9.md,Nivy Global (Master Brand & HQ)/Shared Departments/HR,FREE Tools to Find Best Content in Any Niche (Pl.md
#L01f680 GAAP #U2014 30-Day Launch Plan & Program Blueprint 2c1b3416c76d80ae91cfe53e35df1e34.md,Nivy Alliance (Partner Program),GAAP  30-Day Launch Plan & Program Blueprint.md
#L01f680 Getting Started #U2013 Tools & Research Kickoff 2b5b3416c76d80a6a8e1c43ceb42b3c4.md,Nivy Global (Master Brand & HQ)/Shared Departments/Marketing,Getting Started  Tools & Research Kickoff.md
